1;01;02;bolesławiecki
2;02;02;dzierżoniowski
3;03;02;głogowski
4;04;02;górowski
5;05;02;jaworski
6;06;02;jeleniogórski
7;07;02;kamiennogórski
8;08;02;kłodzki
9;09;02;legnicki
10;10;02;lubański
11;11;02;lubiński
12;12;02;lwówecki
13;13;02;milicki
14;14;02;oleśnicki
15;15;02;oławski
16;16;02;polkowicki
17;17;02;strzeliński
18;18;02;średzki
19;19;02;świdnicki
20;20;02;trzebnicki
21;21;02;wałbrzyski
22;22;02;wołowski
23;23;02;wrocławski
24;24;02;ząbkowicki
25;25;02;zgorzelecki
26;26;02;złotoryjski
27;61;02;Jelenia Góra
28;62;02;Legnica
29;64;02;Wrocław
30;65;02;Wałbrzych
31;01;04;aleksandrowski
32;02;04;brodnicki
33;03;04;bydgoski
34;04;04;chełmiński
35;05;04;golubsko-dobrzyński
36;06;04;grudziądzki
37;07;04;inowrocławski
38;08;04;lipnowski
39;09;04;mogileński
40;10;04;nakielski
41;11;04;radziejowski
42;12;04;rypiński
43;13;04;sępoleński
44;14;04;świecki
45;15;04;toruński
46;16;04;tucholski
47;17;04;wąbrzeski
48;18;04;włocławski
49;19;04;żniński
50;61;04;Bydgoszcz
51;62;04;Grudziądz
52;63;04;Toruń
53;64;04;Włocławek
54;01;06;bialski
55;02;06;biłgorajski
56;03;06;chełmski
57;04;06;hrubieszowski
58;05;06;janowski
59;06;06;krasnostawski
60;07;06;kraśnicki
61;08;06;lubartowski
62;09;06;lubelski
63;10;06;łęczyński
64;11;06;łukowski
65;12;06;opolski
66;13;06;parczewski
67;14;06;puławski
68;15;06;radzyński
69;16;06;rycki
70;17;06;świdnicki
71;18;06;tomaszowski
72;19;06;włodawski
73;20;06;zamojski
74;61;06;Biała Podlaska
75;62;06;Chełm
76;63;06;Lublin
77;64;06;Zamość
78;01;08;gorzowski
79;02;08;krośnieński
80;03;08;międzyrzecki
81;04;08;nowosolski
82;05;08;słubicki
83;06;08;strzelecko-drezdenecki
84;07;08;sulęciński
85;08;08;świebodziński
86;09;08;zielonogórski
87;10;08;żagański
88;11;08;żarski
89;12;08;wschowski
90;61;08;Gorzów Wielkopolski
91;62;08;Zielona Góra
92;01;10;bełchatowski
93;02;10;kutnowski
94;03;10;łaski
95;04;10;łęczycki
96;05;10;łowicki
97;06;10;łódzki wschodni
98;07;10;opoczyński
99;08;10;pabianicki
100;09;10;pajęczański
101;10;10;piotrkowski
102;11;10;poddębicki
103;12;10;radomszczański
104;13;10;rawski
105;14;10;sieradzki
106;15;10;skierniewicki
107;16;10;tomaszowski
108;17;10;wieluński
109;18;10;wieruszowski
110;19;10;zduńskowolski
111;20;10;zgierski
112;21;10;brzeziński
113;61;10;Łódź
114;62;10;Piotrków Trybunalski
115;63;10;Skierniewice
116;01;12;bocheński
117;02;12;brzeski
118;03;12;chrzanowski
119;04;12;dąbrowski
120;05;12;gorlicki
121;06;12;krakowski
122;07;12;limanowski
123;08;12;miechowski
124;09;12;myślenicki
125;10;12;nowosądecki
126;11;12;nowotarski
127;12;12;olkuski
128;13;12;oświęcimski
129;14;12;proszowicki
130;15;12;suski
131;16;12;tarnowski
132;17;12;tatrzański
133;18;12;wadowicki
134;19;12;wielicki
135;61;12;Kraków
136;62;12;Nowy Sącz
137;63;12;Tarnów
138;01;14;białobrzeski
139;02;14;ciechanowski
140;03;14;garwoliński
141;04;14;gostyniński
142;05;14;grodziski
143;06;14;grójecki
144;07;14;kozienicki
145;08;14;legionowski
146;09;14;lipski
147;10;14;łosicki
148;11;14;makowski
149;12;14;miński
150;13;14;mławski
151;14;14;nowodworski
152;15;14;ostrołęcki
153;16;14;ostrowski
154;17;14;otwocki
155;18;14;piaseczyński
156;19;14;płocki
157;20;14;płoński
158;21;14;pruszkowski
159;22;14;przasnyski
160;23;14;przysuski
161;24;14;pułtuski
162;25;14;radomski
163;26;14;siedlecki
164;27;14;sierpecki
165;28;14;sochaczewski
166;29;14;sokołowski
167;30;14;szydłowiecki
168;32;14;warszawski zachodni
169;33;14;węgrowski
170;34;14;wołomiński
171;35;14;wyszkowski
172;36;14;zwoleński
173;37;14;żuromiński
174;38;14;żyrardowski
175;61;14;Ostrołęka
176;62;14;Płock
177;63;14;Radom
178;64;14;Siedlce
179;65;14;Warszawa
180;01;16;brzeski
181;02;16;głubczycki
182;03;16;kędzierzyńsko-kozielski
183;04;16;kluczborski
184;05;16;krapkowicki
185;06;16;namysłowski
186;07;16;nyski
187;08;16;oleski
188;09;16;opolski
189;10;16;prudnicki
190;11;16;strzelecki
191;61;16;Opole
192;01;18;bieszczadzki
193;02;18;brzozowski
194;03;18;dębicki
195;04;18;jarosławski
196;05;18;jasielski
197;06;18;kolbuszowski
198;07;18;krośnieński
199;08;18;leżajski
200;09;18;lubaczowski
201;10;18;łańcucki
202;11;18;mielecki
203;12;18;niżański
204;13;18;przemyski
205;14;18;przeworski
206;15;18;ropczycko-sędziszowski
207;16;18;rzeszowski
208;17;18;sanocki
209;18;18;stalowowolski
210;19;18;strzyżowski
211;20;18;tarnobrzeski
212;21;18;leski
213;61;18;Krosno
214;62;18;Przemyśl
215;63;18;Rzeszów
216;64;18;Tarnobrzeg
217;01;20;augustowski
218;02;20;białostocki
219;03;20;bielski
220;04;20;grajewski
221;05;20;hajnowski
222;06;20;kolneński
223;07;20;łomżyński
224;08;20;moniecki
225;09;20;sejneński
226;10;20;siemiatycki
227;11;20;sokólski
228;12;20;suwalski
229;13;20;wysokomazowiecki
230;14;20;zambrowski
231;61;20;Białystok
232;62;20;Łomża
