0001672;18;14;Zalesie;03
0001689;18;14;Czarny Las;01
0001695;18;14;Czersk;01
0001703;18;14;Tatary;02
0001710;18;14;Dębówka;01
0001726;18;14;Dobiesz;01
0001732;18;14;Dobiesz-Parcela;00
0001749;18;14;Wola Dobieska;00
0001755;18;14;Karolina;01
0001761;18;14;Walewice;03
0001778;18;14;Kąty;01
0001784;18;14;Królewski Las;01
0001790;18;14;Krzaki Czaplinkowskie;01
0001809;18;14;Kalwaryjka;00
0001815;18;14;Krzymów;05
0001821;18;14;Linin;01
0001838;18;14;Lininek;02
0001844;18;14;Łubna;01
0001867;18;14;Mikówiec;01
0001873;18;14;Moczydłów;01
0001896;18;14;Budki Moczydłowskie;04
0001904;18;14;Obręb;01
0001910;18;14;Ostrówik;01
0001927;18;14;Borki;01
0001933;18;14;Pęcław;01
0001940;18;14;Podgóra;01
0001956;18;14;Podłęcze;01
0001962;18;14;Podłęcze Brzeskie;00
0001979;18;14;Podłęcze Wólczyńskie;00
0001985;18;14;Podosowa;01
0001991;18;14;Potycz;01
0002000;18;14;Sierzchów;01
0002016;18;14;Ługówka;01
0002022;18;14;Sobików;01
0002039;18;14;Kolonia Sobików;02
0002045;18;14;Solec;01
0002051;18;14;Szymanów;01
0002068;18;14;Tomice;01
0002074;18;14;Wincentów;01
0002080;18;14;Wojciechowice;01
0002097;18;14;Wólka Dworska;01
0002105;18;14;Wólka Załęska;01
0002111;05;14;Adamowizna;01
0002128;05;14;Chełmonie;00
0002134;05;14;Stare;00
0002140;05;14;Zapole;01
0002157;05;14;Adamów;01
0002163;05;14;Chlebnia;01
0002170;05;14;Dąbrówka;01
0002186;05;14;Chrzanów Duży;01
0002192;05;14;Chrzanów Mały;01
0002200;05;14;Czarny Las;01
0002217;05;14;Budki Kozerkowskie;00
0002223;05;14;Izdebno Kościelne;01
0002230;05;14;Janinów;01
0002246;05;14;Kady;01
0002252;05;14;Kałęczyn;01
0002269;05;14;Kozerki;01
0002275;05;14;Podchyliczki;00
0002281;05;14;Kozery;01
0002298;05;14;Kozery-Folwark;00
0002306;05;14;Kraśnicza Wola;01
0002312;05;14;Książenice;01
0002335;05;14;Urszulin;01
0002341;05;14;Makówka;01
0002358;05;14;Marynin;01
0002364;05;14;Mościska;01
0002370;05;14;Natolin;01
0002387;05;14;Izdebno Nowe;01
0002393;05;14;Izdebno Małe;00
0002401;05;14;Żdżary;00
0002418;05;14;Kłudno Nowe;01
0002424;05;14;Kozery Nowe;01
0002430;05;14;Odrano-Wola;01
0002447;05;14;Putka;00
0002453;05;14;Opypy;01
0002460;05;14;Radonie;01
0002476;05;14;Jordanowice;00
0002482;05;14;Mieczysławów;00
0002499;05;14;Nowe Radonie;00
0002507;05;14;Zajączkowo;00
0002513;05;14;Kłudno Stare;01
0002520;05;14;Szczęsne;01
0002536;05;14;Tłuste;01
0002542;05;14;Kłudzienko;04
0002559;05;14;Wężyk;01
0002565;05;14;Chawłowo;03
0002571;05;14;Władków;01
0002588;05;14;Wandzin;00
0002594;05;14;Wólka Grodziska;01
0002602;05;14;Zabłotnia;01
0002619;05;14;Żuków;01
0002625;05;14;Lipy;00
0002631;12;14;Brzeziny;01
0002648;12;14;Stefanów;00
0002654;12;14;Budziska;01
0002660;12;14;Kamionek;00
0002677;12;14;Chobot;01
0002683;12;14;Kolonia Chobot;00
0002690;12;14;Cisie;01
0002708;12;14;Nowiny;00
0002714;12;14;Desno;01
0002720;12;14;Długa Kościelna;01
0002737;12;14;Długa Szlachecka;01
0002743;12;14;Grabina;01
0002750;12;14;Królewskie Brzeziny;01
0002766;12;14;Halinów;96
0002772;12;14;Zagaje;99
0002789;12;14;Hipolitów;01
0002795;12;14;Józefin;01
0002803;12;14;Kazimierów;01
0002810;12;14;Zastawie;00
0002826;12;14;Krzewina;01
0002832;12;14;Gęśle;00
0002849;12;14;Michałów;01
0002855;12;14;Mrowiska;01
0002861;12;14;Mrowiska Duże;00
0002878;12;14;Mrowiska Małe;00
0002884;12;14;Nowy Konik;01
0002890;12;14;Okuniew;01
0002909;12;14;Stary Konik;01
0002915;12;14;Wielgolas Brzeziński;01
0002921;12;14;Nowiny za Koleją;00
0002938;12;14;Wielgolas Duchnowski;01
0002944;12;14;Zagórze;01
0002950;12;14;Żwirówka;01
0002967;08;14;Boża Wola;01
0002973;08;14;Chotomów;01
0002980;08;14;Chotomów;05
0002996;08;14;Dąbrowa Chotomowska;01
0003004;08;14;Jabłonna;01
0003010;08;14;Bagno;05
0003027;08;14;Bukowiec;05
0003033;08;14;Janówek Drugi;01
0003040;08;14;Rajszew;01
0003056;08;14;Rajszew;05
0003062;08;14;Skierdy;05
0003079;08;14;Skierdy;01
0003085;08;14;Suchocin;01
0003091;08;14;Trzciany;01
0003100;08;14;Wólka Górska;01
0003116;32;14;Bieliny;01
0003122;32;14;Granica;01
0003139;32;14;Bromierzyk;01
0003145;32;14;Karolinów;01
0003151;32;14;Łazy Leśne;01
0003168;32;14;Grabnik;01
0003174;32;14;Józefów;01
0003180;32;14;Koszówka;01
0003197;32;14;Kampinos;01
0003205;32;14;Kampinos A;01
0003211;32;14;Kirsztajnów;01
0003228;32;14;Budki Żelazowskie;01
0003234;32;14;Pindal;01
0003240;32;14;Komorów;01
0003257;32;14;Kwiatkówek;01
0003263;32;14;Łazy;01
0003270;32;14;Pasikonie;01
0003286;32;14;Podkampinos;01
0003292;32;14;Krubice;00
0003300;32;14;Prusy;01
0003317;32;14;Skarbikowo;01
0003323;32;14;Stare Gnatowice;01
0003330;32;14;Strojec;01
0003346;32;14;Rzęszyce;01
0003352;32;14;Strzyżew;01
0003369;32;14;Szczytno;01
0003375;32;14;Wiejca;01
0003381;32;14;Wola Pasikońska;01
0003398;32;14;Zawady;01
0003406;17;14;Brzezinka;01
0003412;17;14;Całowanie;01
0003429;17;14;Górki;00
0003435;17;14;Pękatka;00
0003441;17;14;Glinki;01
